state,university,lon,lat,text_lon,text_lat,graduates,year,note,text
Hawaii,University of Hawaii,-157.816607,21.292648,-157.816607,21.292648,NA,NA,NA,The University of Hawaii has not been able to identify its first black graduate
Idaho,University of Idaho,-117.024296,46.726894,-113.8,43.7,Jennie Hughes,1899,NA,"Jennie Eva Hughes was born in Washington, D.C., in 1879. Her mother and stepfather headed west in the early 1880s and after stops in Pennsylvania and Oklahoma, arrived in Moscow, Idaho, in 1891. Hughes' stepfather was possibly a restauranteur or a barber or both. Hughes graduated from Moscow High School in 1895. That fall she enrolled at the University of Idaho. In 1898 she won the Watkins Medal for Oratory, the highest student honor bestowed by the university at that time. In 1899 she received a bachelor of science degree as a member of the university's fourth commencement class. Soon after graduation, Hughes married a railroad employee who had speculated in mining stocks. The couple prospered and had four children. In 1912 the family moved to Spokane, Washington. In 1919 Hughes sent her son Berthol to the University of Idaho. Twenty years after his mother's graduation, Berthol was only the second black to enroll at the school. Jennie Eva Hughes died in Spokane in 1939 at the age of 60. At the time of her death, she was still the only African American to earn a degree from the University of Idaho."
Illinois,University of Illinois,-88.228333,40.110558,-88.228333,41.9,William Smith,1900,NA,"William Walter Smith of Broadlands, Illinois, graduated from Homer High School and entered the University of Illinois in 1896. He was president of the university's Republican Club, president of the Philomathean Society, and editor-in-chief of the student William Walter Smith newspaper. He earned a bachelor's degree in 1900, the first African American to receive a degree from the University of Illinois. Smith took a job as a teacher and assistant principal at a high school in St. Louis while continuing his study as a civil engineer at the University of Illinois. He earned a bachelor of science degree in 1907 and a master's in civil engineering in 1913. Smith took a job with the Portland Cement Company selling steel products and engaging in construction engineering in South America. Later, the university alumni association received a change-of-address form from him. Smith listed his occupation as foreign trade and was moving from West 138th Street in Manhattan to Saunders Avenue in Philadelphia. At that time, he also notified the alumni association that he had changed his named to Walter Smith Oglesby. Oglesby was his mother's maiden name"
Indiana,Indiana University,-86.526904,39.166383,-87.2,38,Marcellus Neal,1895,NA,"In 1870 Marcellus Neal was born in Lebanon, Tennessee. His family fled to Indiana when Union troops were pulled out of southern states and white supremacists regained control of state government. An outstanding student in high school, in 1891 Neal was Marcellus Neal offered a scholarship to attend Indiana University in Bloomington. In 1895 Neal graduated with a degree in mathematics. Black students had attended Indiana University for at least 22 years prior to Neal's graduation, but he was the first to earn a degree. Little is known about Neal's experiences at the university. At the time, however, Indiana University had a distinctly southern flavor. People in the surrounding area had been proslavery and many university students and alumni were from the South. It was often remarked wryly that the Mason-Dixon line should have been moved north of Bloomington. Preston Eagleton, a black student who graduated a year after Neal, was forced to sit by himself in class because white students refused to be near him. A star football and baseball player, Eagleton was not allowed to play football against the University of Kentucky, whose coaches told Indiana officials that his presence on the field would not be tolerated."
Iowa,University of Iowa,-91.535698,41.660695,-94,42.6,Samuel Brown,1898,NA,"The earliest black graduate of record at the University of Iowa was Samuel Joe Brown, who received a bachelor's degree in 1898. Jones was from the now defunct town of Buxton, which was built by the Consolidated Coal Company to house black miners from Virginia. Brown went on to earn a law degree from the university in 1901. He was one of the founders of the National Bar Association. The university is not sure whether any other black students preceded Brown. On the graduate level, the University of Iowa is more certain of its African-American history. Alexander G. Clark Jr. graduated from the law school in 1879, the first African American to earn a law degree in the United States."
Kansas,University of Kansas,-95.24587,38.95735,-99,39.2,Blanche Bruce,1885,NA,"Blanche Ketene Bruce was born in Brunswick, Missouri, in 1859, the same year Kansas abolitionist John Brown was executed for his failed raid on the federal arsenal at Harpers Ferry in an attempt to arm a slave rebellion. After completing secondary school in Missouri, Bruce enrolled at Lincoln University, a black college in Jefferson City. With flagship state universities in Missouri and nearby Oklahoma closed to blacks, Bruce applied to the University of Kansas which was open to black students. The first black student to enroll at the University of Kansas was Lizzie Ann Smith in 1876, but she did not graduate. In 1885 Bruce became the first African American to receive a bachelor's degree. After graduation Bruce had a 54-year career as principal of a school in Leavenworth, Kansas. In 1939 he moved to Baltimore to live with a daughter. He died in 1952 at the age of 93."
Kentucky,University of Kentucky,-84.510698,38.028084,-81.5,38.028084,Doris Wilkinson,1958,NA,"In the fall of 1954, 20 black undergraduates were admitted to the University of Kentucky. The integration of the graduate schools at the University of Kentucky had occurred five years earlier in 1949. Doris Y. Wilkinson, the valedictorian of her high school class and a member of the National Honor Society, was one of the 20 black undergraduate students admitted majored in social work with a minor in English. Wilkinson completed her course work in three and a half years and became the first African American to earn a bachelor's degree from the University of Kentucky. Wilkinson went on to earn a master's and Ph.D. in medical sociology from Case Western University and a master's in public health from Johns Hopkins University. In 1967 Wilkinson became the first black woman appointed to the full-time faculty at the University of Kentucky. She is now a full professor of sociology at the university"
Louisiana,Louisiana State University,-93.703762,32.428768,-92.8,28,Charles Harrington,1952,2,"Louisiana State University does not know the identity of its first black graduate. However, the university has told JBHE that it has launched a research effort to determine the first black to receive a bachelor's degree. In 1952 Charles Edward Harrington of Magnolia, Mississippi, was the first African American to earn a degree at any level from LSU. Harrington, a World War II army veteran and graduate of Southern University, received a master of education degree."
Maine,University of Maine,-68.673837,44.895963,-70,50,Ada Peters,1927,NA,"Ada Viola Peters was born in Bangor, Maine, and graduated from Bangor High School. She enrolled at the University of Maine at Orono to study French and in 1927 she became the first African American to earn a degree from the university. She married J. Jerome Smith in 1930. Ada Peters Smith went on to Columbia University where she received a master's in contemporary American literature in 1952. She later taught at Tuskegee University. Ada Viola Peters Smith died in Alabama on September 27, 1995."
Maryland,University of Maryland,-76.939704,38.988607,-65.8,37.9,Hiram Whittle,1951,1,"The University of Maryland does not know the identity of its first black graduate. However, the tale of the first black undergraduate student to enroll at the university is well documented. In 1950 Hiram Whittle was a 19-year-old student at historically black Morgan State University. The local office of the NAACP approached him to be the test subject in efforts to integrate the University of Maryland College Park. Whittle, who wanted to be an electrical engineer, a course of study not available at Morgan State at that time, agreed and became party to the litigation. On January 31, 1951, before the case came to trial, the university's board of regents on the advice of the state's attorney general voted to admit Whittle. He transferred from Morgan State but was not allowed to live in campus dormitories. Within year, Whittle had dropped out of college and moved to New York City. Now 64 years old, Whittle has worked for the city of Baltimore since 1963."
Massachusetts,University of Massachusetts,-72.527401,42.390989,-65,46,George Bridgeforth,1901,NA,"In 1901 George Ruffin Bridgeforth was the first African American to earn a degree from Massachusetts Agricultural College (later the University of Massachusetts). Bridgeforth was born in Westmoreland, Alabama, in 1872. He attended Talledega College in Alabama before transferring to Massachusetts. At UMass he played football, was a member of the Shakespeare Club, and was president of the YMCA. At graduation he was presented with the Flint Oratorial Prize and was asked to give a speech entitled ""The Security of the Nation."" After graduation, Bridgeforth taught at the State Normal School in Atlanta. In 1904 Bridgeforth was named director of the department of agriculture at Tuskegee Institute. In 1923 the UMass alumni association received word that Bridgeforth was a ""dairy man"" in Athens, Alabama. In the alumni association's last correspondence with Bridgeforth in 1928, UMass' first black graduate listed his occupation as ""real estate."""
Michigan,University of Michigan,-83.73822,42.278046,-82.5,45.5,Gabriel Hargo,1870,NA,"In 1868 the first two black students, John S. Davidson and Gabriel F. Hargo, were admitted to the University of Michigan. There is no evidence that there was any controversy over their admittance. At the time the university was embroiled in a major controversy over the continued exclusion of women students. Davidson was a student of literature but dropped out of college after only one year and died in 1892. Hargo, a native of Adrian, Michigan, studied law and was a sergeant at arms of the Lincoln Debating Society. He received a bachelor's degree in 1870. There is no information on what happened to Hargo after graduation."
Minnesota,University of Minnesota,-93.235352,44.977886,-93.8,47,Andrew Hilyer,1882,NA,"In 1882 Andrew F. Hilyer became the first black to earn a bachelor's degree at the University of Minnesota. An 1895 article in the university publication Ariel provides much of what is known about Hilyer: ""He is a mulatto who came to our institution without means or encouragement and paid his way by earnest work outside the university. He is now employed in the Treasury Department at Washington. Mr. Hilyer has there associated with the colored class and is doing much for their advancement."" In 1901 Hilyer published the book A Social Study of the Negro of Washington, D.C. He later served as a trustee of Howard University."
Mississippi,University of Mississippi,-89.539377,34.362144,-89.539377,26,James Meredith,1963,NA,"James Meredith was born in Kosciusko, Mississippi, in 1933. A nine-year Air Force veteran, Meredith enrolled in 1960 at what was then called Jackson State College. He applied to the University of Mississippi in 1962 and was accepted. But Mississippi Governor Ross Barnett blocked Meredith's admission. Under federal court order and under guard of two dozen U.S. marshals with guns drawn, Meredith was finally allowed to register. Riots erupted on campus. More than 150 federal marshals were injured, 28 by gunshot. Two bystanders were killed by random gunfire. President Kennedy dispatched 3,000 federal troops who were obliged to use tear gas to restore order. Federal troops remained on campus until Meredith received his diploma in August 1963. Meredith went on to study at the University of Ibadan in Nigeria. During a civil rights march in Mississippi in 1966, Meredith was shot. He survived and went on to earn a law degree from Columbia University in 1968. He later became a successful entrepreneur and dabbled in Republican Party politics, at one time serving on the staff of North Carolina Senator Jesse Helms."
Missouri,University of Missouri,-92.326429,38.941015,-92.326429,38.2,Walter Hamilton and Hubert Kelly,1957,NA,"For its first 116 years, no black students were admitted to the University of Missouri at Columbia. Black students in the state seeking a higher education were expected to attend the segregated Lincoln University in Jefferson City, which was established in 1866. In the fall of 1954 the first four black students enrolled at the University of Missouri. Of these four, Walter Wesley Hamilton and Hubert Arthur Kel- ley, both of Kansas City, graduated in 1957. In January 1958 Nora A. Petty became the first black woman to earn a bachelor's degree from the University of Missouri."
Montana,University of Montana,-112.016035,46.595384,-108,47.8,James Dorsey,1922,NA,"In 1897 James W. Dorsey was born in Missoula, Montana. His father was a member of the 25th Infantry which earlier had gone to Montana to fight Indians. After graduating from Loyola High School in 1918, Dorsey enrolled at the University of Montana. Dorsey worked as a janitor and a sign painter to put himself through school. An accomplished athlete in football and track, Dorsey in 1922 became the first African American to earn a degree from the University of Montana. He majored in psychology. Five years later he received a law degree from the university. There was little work for a black lawyer in Montana, so Dorsey moved east. After unsuccessfully trying to establish a law practice in Des Moines and then St. Paul, Dorsey decided to head back to Montana. His car broke down in Fort Dodge, Iowa, and he was forced to do janitorial work at a local theater. While there he heard that the city of Milwaukee had only one practicing African-Americn lawyer for a black population that then numbered about 8,000. Dorsey passed the Wisconsin i bar examination in 1928 and moved to Milwaukee, where he successfully practiced law for many years. He was the first black candidate ever I nominated for city office and Milwaukee's first black court commissioner. He served as president of the Milwaukee chapter of the NAACP. In 1966 James Dorsey and his adopted daughter perished in a fire at their home. Dorsey was 69 years old"
Nebraska,University of Nebraska,-96.70047,40.820744,-99.4,41.7,George Flippin,1892,NA,"George Albert Flippin, originally of Point Isabel, Ohio, enrolled at the University of Nebraska in 1892. He played left halfback for the football team and graduated in 1895. Flippin followed in his father's footstep: and went on to become a doctor."
Nevada,University of Nevada,-119.825639,39.55282,-116.7,40,Theodore Miller,1930,NA,"In 1930 Theodore H. Miller, majoring in electrical engineering, became the first black graduate of the University of Nevada. For most of his career, Miller worked for the General Services Administration and the Mare Island Naval Shipyard. He also was a part-time instructor at Stanford University."
New Hampshire,University of New Hampshire,-70.934512,43.134235,-65,48,Elizabeth Virgil,1926,NA," Elizabeth Virgil was born in 1903, the granddaughter of a former slave. In 1926 she became the first black graduate of the University of New Hampshire. A native of Plymouth, New Hampshire, Virgil majored in home economics. After graduation she taught at the Virginia Normal and Industrial Institute in Petersburg and later at the Bowie Normal School in Maryland. She later worked in the soil conservation department at the University of New Hampshire."
New Jersey,Rutgers University,-74.45051,40.503796,-72,40.2,James Carr,1892,NA,"Born in Baltimore in 1868, James Dickson Carr attended public schools in New Haven, Connecticut, and Elizabeth, New Jersey. In 1886 Carr entered the Rutgers Grammar School. Two years laters, graduating as the valedictorian, Carr enrolled at Rutgers College. He lived off campus in a boarding house and compiled an impressive academic record including induction into the Phi Beta Kappa Honor Society. In 1892 Carr became Rutgers' first black graduate. Carr went on to earn a law degree from Columbia University and became an attorney in New York City. In 1899 he was named an assistant district attorney for city of New York. In 1920, immediately before he was to be appointed a New York City judge by Mayor John J. Hylan, Carr died of a heart attack in his Harlem home."
New Mexico,University of New Mexico,-106.620155,35.083868,-106,33.8,Oliver LaGrone,1938,NA,"Oliver LaGrone, noted sculptor, poet, and teacher, was the first black graduate of the University of New Mexico. LaGrone was born in the Oklahoma territory in 1906. In 1930 he dropped out of Howard University where he was studying journalism. He moved his family Albuquerque to pursue his first love, sculpture. His early works caught the attention of University of New Mexico president James F. Zimmerman, who convinced LaGrone to enroll in the university's art department. While a student at UNM, LaGrone was commissioned to create a statue for a hospital in what was then Hot Springs, New Mexico. The town has since been renamed Truth or Consequences. The work entitled ""Mercy"" is a plaster sculpture of a mother holding a sick child, her hand upon his head. When the statue was unveiled, LaGrone was told not to bother to attend because no hotel in town would rent a room to a black man. The hospital has since moved to Albuquerque and the original statue remains on display. Patients often touch the statue for good luck as they enter or leave the hospital. Two bronze casts of ""Mercy,"" considered LaGrone's most famous work, have been made and are on display at the University of New Mexico and at the Albuquerque Museum. LaGrone graduated from UNM in 1938 and went on to further study at the Cranbrook Art Academy in Michigan. He taught in the public schools of Detroit and Harrisburg and at Pennsylvania State University. In addition, LaGrone is the author of two books of poetry."
New York,SUNY-Albany,-73.825014,42.686917,-75.5,45.5,Georgine Lewis,1911,NA,"Evelena Williams of Westbury Station, New York, graduated from the New York State Normal School on January 25, 1884. She earned a teaching certificate from what was to become the State University of New York at Albany. She went on to become a teacher in Jamacia, New York. She later became a stenographer. The first black to earn a bachelor's degree from the institution was Georgine Lewis in 1911. Lewis married a dentist and moved to Baltimore. She later returned to SUNY- Albany to earn a master of arts degree"
North Carolina,University of North Carolina,-79.046761,35.904613,-73,34.3,David Dansby Jr.,1961,NA,The first black undergraduate students were admitted to the University of North Carolina at Chapel Hill in the fall of 1955. None apparently made it through to graduation. The first black to earn a bachelor's degree at Chapel Hill was David M. Dansby Jr. Dansby majored in political science and earned his degree in 1961. Dansby later graduated from the UNC law school and has a successful law practice in Greensboro.
North Dakota,University of North Dakota,-97.070824,47.921879,-100.8,48,Frederick Pollard Jr. and Horace Johnson,1939,NA,"In 1939 two black men became the first African-American graduates of the University of North Dakota. Frederick Pollard Jr. earned a bachelor's degree in physical education. Horace Johnson earned a bachelor's degree in American history with minors in physical education and education. In 1916 Pollard's father, playing halfback for Brown University, was the first African American ever to play in the Rose Bowl. Later, he was the first black man to play quarterback and to coach in the National Football League. The younger Pollard was also a gifted athlete, playing football at North Dakota. He went on to win a bronze medal in the hurdles at the 1936 Berlin Olympics where Jesse Owens' four gold medals shattered Hitler's show of Aryan supremacy. After graduation, Pollard earned a law degree from John Marshall Law School in Chicago. He served for many years as an official of the Chicago parks and recreation program. Horace Johnson went on to a distinguished career in the U.S. Army, retiring after achieving the rank of lieutenant colonel. He later taught in the public schools in Compton, California. Johnson died in 1991 at the age of 75."
Ohio,Ohio State University,-83.009001,39.998389,-83,41.5,Sherman Guss,1892,NA,"In 1892 Sherman Hamlin Guss became the first black graduate of Ohio State University. He served for many years as principal of West Virginia State High School. Guss died in 1943 at the age of 73. The first black woman to earn a degree at Ohio State was Jessie Frances Stephens, who received a bachelor's degree in modern languages in 1905. Stephens' father, an emancipated slave, worked for the brick company that provided supplies for the construction of many buildings on the Columbus campus. Jessie awoke each morning at 4 a.m. and at 6 A.M. began her four-mile walk to the campus. After attending classes, she worked cleaning rooms in a downtown Columbus office building. After graduation she taught at Florida Agricultural College and the West Virginia Collegiate Institute."
Oklahoma,University of Oklahoma,-97.445717,35.205894,-100.5,36.3,Ada Sipuel,1951,2,"Though the University of Oklahoma is unsure of the first African American to earn a bachelor's degree, the integration of the university's graduate programs is well documented. In 1946 Thurgood Marshall and the NAACP organized a carefully choreographed challenge to southern segregation. Ada Louis Sipuel, a young black woman who had graduated with honors from Langston University, applied to the University of Oklahoma College of Law. Because Norman, Oklahoma, where the university is located, did not allow blacks in town after sunset, Sipuel stipulated that if admitted she would commute to the law school each day from Oklahoma City. To no one's surprise, she was denied admission. The NAACP legal team sprang into action. The case eventually reached the Supreme Court in 1948. The Court unanimously ruled that if the state did not set up a separate law school for blacks, it would be required to admit Sipuel to the University of Oklahoma. Within days Oklahoma established the Langston University College of Law located in the fourth-floor offices of the state capitol building. Three white attorneys were appointed to the faculty. When Sipuel again reapplied to the University of Oklahoma law school, her application was refused. She was once more referred to Langston. But the NAACP had not played every card in its hand. Two days after Sipuel was rejected at the University of Oklahoma, six black students, including 68-year-old George W. McLaurin, applied to six other graduate schools at the institution. There was no graduate program for blacks at Langston in any of the six disciplines. Faced with the monumental and costly task of establishing a string of separate graduate schools for blacks, the state finally gave in. McLaurin was the first to breach the racial barrier when he was admitted to the University of Oklahoma to pursue a doctorate in education. But because a separate black law school existed on paper, Sipuel was still denied enrollment at the University of Oklahoma College of Law. In June 1949, with McLaurin and other black students now enrolled at the Norman campus, the state closed the Langston law school and Sipuel was finally permitted to study law on the campus of the University of Oklahoma College of Law. She earned her law degree in 1951."
Oregon,University of Oregon,-123.07398,44.044515,-120,43.9,Mabel Byrd,1917,1,"The university is not sure of the identity of its first black undergraduate degree recipient. University officials believe that the first black undergradaute student to enroll at the University of Oregon was Mabel Byrd. She was a native of Canonsburg, Pennsylvania. She attended the University of Oregon from 1917 to 1919 but did not earn degree. Sherman Savage was the first black person to earn a degree at the university. He completed a master of arts in history degree in 1926. His master's thesis was entitled ""Abolitionist Literature in the Mails, 1835-1836."" A graduate of Howard University, Savage went on to earn a Ph.D. from Ohio State."
Pennsylvania,Pennsylvania State University,-77.859909,40.798214,-78.5,43.5,Calvin Waller,1905,NA,"Calvin H. Waller was born in Macon, Georgia. He came to Pennsylvania State University in 1899 to learn how to be a successful farmer. Waller was a popular student who sang as a soloist in the college chorus. He earned his degree in 1905 as Perm State's first black graduate. He then joined the faculty at Haynes Institute in Augusta, Georgia. In 1907 Waller accepted a position as instructor in vegetable gardening at Prairie View State College in Texas. In 1910 he was named chair of the department of agriculture. Waller died in 1941."
Rhode Island,University of Rhode Island,-71.531052,41.481616,-65.3,44,Harvey Turner,1914,NA,The first black graduate of the University Rhode Island was Harvey Robert Turner in 1914. Turner majored in civil engineering and was a member of the football and track teams. The 1936 alumni director listed his occupation as assistant treasurer of Prairie View State College in Texas.
South Carolina,University of South Carolina,-81.037739,34.006153,-76,32.2,Thomas Stewart,1875,NA,"Unlike the other flagship state universities of the South, the University of South Carolina did admit black students in the years immediately after the Civil War. Thomas McCants Stewart, a native of South Carolina, was a student at Howard University in 1874. He transferred to the University of South Carolina as a junior and the next year earned bachelor's degrees in art and the law. Stewart practiced law in Columbia, South Carolina. He also served as a journalist reporting on conditions in the South for the New York Age. Later, he helped codify the law for the territory of Hawaii and the new nation of Liberia. At the end of his career, Stewart served as an associate justice on the Liberian Supreme Court."
South Dakota,University of South Dakota,-96.924664,42.784558,-100,44.8,NA,NA,NA,The University of South Dakota has not been able to identify its first black graduate.
Tennessee,University of Tennessee,-83.929696,35.955093,-86.8,35.955093,Theotis Robinson,1961,1,"The University of Tennessee followed a similar pattern of many southern states. For more than a century and a half no black students were allowed to enroll. Then, under court order, graduate programs not available at historically black institutions were opened to Negroes. Undergraduate education was the last to be desegregated. Theotis Robinson enrolled at the University of Tennessee at Knoxville on January 6, 1961. He was the first African- American undergraduate on campus. The identity of the first black student to earn a degree is not known. It is quite probable that several black students graduated in 1964 or 1965. Lillian Jenkins was the first African American to earn a degree at any level. She graduated with a master's in special education in August 1954. Gene Mitchell Gray, a graduate student in chemistry, was the first black to break the color line and enroll at the University of Tennessee in 1952."
Texas,University of Texas,-97.737277,30.284734,-97.737277,32.5,Edna Rhambo,1958,NA,"In 1958 Edna Oddessa Humphries Rhambo was the first African American to receive a bachelor's degree at the University of Texas. After transferring from Huston-Tillotson College in 1956, she majored in secondary education. After graduation, she taught in the public schools in Austin before moving to Denver in 1963. She later eamed a master's degree in administration and supervision from Wichita State University."
Utah,University of Utah,-111.846044,40.762484,-111.2,39.2,NA,NA,NA,The University of Utah has not been able to identify its first black graduate.
Vermont,University of Vermont,-73.198128,44.479262,-73.198128,47.6,George Henderson,1877,NA,"In 1850 George Washington Henderson was born a slave in Virginia. After Emancipation and the end of the Civil War, Henderson moved to Vermont in 1865. He enrolled at the University of Vermont in 1875 and graduated in 1877. In 1880 Henderson began study at Yale in theology and was ordained gregational minister in 1888. He went on to teach theology at Straight University Orleans. In 1909 he accepted a position Latin, Greek, and ancient literature at Wilberforce ty in Ohio. Henderson died in 1936 at the age of 86."
